hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
775.25,0.0,0.0,0.0,0.008281,0.0,0.0,0.210876,0.002128,0.002152,0.083066,0.02809,0.028229,3.830251,3.910059,3.90823,219.222951,219.319825,219.316301,223.35542,223.2601,223.25491
799.025,0.0,0.0,0.0,0.008034,0.0,0.0,0.208288,0.00182,0.00184,0.076269,0.024061,0.024183,3.757163,3.833792,3.831987,219.182384,219.283038,219.279401,223.23214,223.14271,223.13741
822.8,0.0,0.0,0.0,0.007799,0.0,0.0,0.205784,0.00156,0.001578,0.070114,0.020599,0.020708,3.684955,3.757919,3.756134,219.141101,219.245467,219.241699,223.10975,223.02554,223.02012
846.575,0.0,0.0,0.0,0.007577,0.0,0.0,0.203362,0.00134,0.001356,0.064542,0.017628,0.017729,3.613683,3.68251,3.680736,219.099133,219.207128,219.203197,222.9883,222.90861,222.90302
870.35,0.0,0.0,0.0,0.007365,0.0,0.0,0.201019,0.001154,0.001168,0.059497,0.015079,0.015174,3.543399,3.607629,3.605863,219.056515,219.168045,219.163933,222.86779,222.79191,222.78614
894.125,0.0,0.0,0.0,0.007163,0.0,0.0,0.198754,0.000996,0.001008,0.054929,0.012895,0.012984,3.474152,3.533341,3.531579,219.013298,219.128254,219.123954,222.7483,222.67549,222.66953
917.9,0.0,0.0,0.0,0.006972,0.0,0.0,0.196566,0.000862,0.000872,0.050794,0.011024,0.011107,3.40599,3.459702,3.457947,218.969536,219.087797,219.083313,222.62986,222.55938,222.55324
941.675,0.0,0.0,0.0,0.006791,0.0,0.0,0.194455,0.000747,0.000756,0.047049,0.009422,0.009498,3.338949,3.386765,3.38502,218.92528,219.046708,219.042056,222.51252,222.44364,222.43733
965.45,0.0,0.0,0.0,0.006618,0.0,0.0,0.192418,0.000649,0.000657,0.043658,0.008051,0.008119,3.273059,3.314573,3.312841,218.880567,219.005015,219.000221,222.39632,222.32829,222.32184
989.225,0.0,0.0,0.0,0.006455,0.0,0.0,0.190451,0.000565,0.000572,0.040585,0.006878,0.006938,3.208341,3.243163,3.24145,218.83542,218.962731,218.957831,222.28125,222.21334,222.20679
1013.0,0.0,0.0,0.0,0.006299,0.0,0.0,0.188551,0.000493,0.000499,0.037799,0.005876,0.005927,3.144811,3.172566,3.170878,218.789862,218.919868,218.914903,222.16732,222.0988,222.09221
