hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_g7,LBLg_g7,LBLk_g7,LBL_g8,LBLg_g8,LBLk_g8,LBL_g9,LBLg_g9,LBLk_g9,LBL_g10,LBLg_g10,LBLk_g10,LBL_tot,LBLg_tot,LBLk_tot
335.4125,0.00185669,0.00072973,0.00073255,0.04124225,0.04631008,0.04628489,0.06886763,0.06511558,0.06500283,0.04116898,0.03672925,0.03669717,0.00962776,0.00945852,0.00946437,0.00626974,0.00615386,0.0061614,0.00363199,0.0035649,0.00357108,0.00208036,0.00205771,0.00206485,0.00109436,0.00108843,0.00109358,0.00111421,0.00105863,0.00106536,0.17695396,0.17226669,0.17213808
359.1875,0.00055342,0.00010955,0.00011017,0.03464655,0.0377652,0.03776055,0.08125086,0.07862997,0.07848941,0.05326812,0.04766371,0.04762277,0.0127693,0.01252599,0.01253604,0.00836916,0.00820132,0.00821336,0.00486875,0.00477079,0.00478022,0.00279945,0.00276648,0.00277722,0.00147661,0.00146798,0.00147572,0.00150985,0.00143462,0.00144473,0.20151207,0.1953356,0.19521018
382.9625,0.0001274,1.042e-05,1.05e-05,0.02695228,0.02697303,0.02701193,0.09200501,0.09150794,0.0913947,0.06732895,0.06048647,0.06042551,0.01659851,0.01624929,0.01624896,0.01095378,0.01071108,0.01071568,0.00640042,0.00625753,0.00626274,0.00369426,0.00364623,0.00365518,0.00195367,0.00194115,0.00194829,0.00200581,0.00190601,0.00191601,0.22802008,0.21968916,0.2195895
406.7375,2.216e-05,6e-07,6e-07,0.0193911,0.01659042,0.01663235,0.09988165,0.10247227,0.10238065,0.08319724,0.07515468,0.07506827,0.02118012,0.02068442,0.02067335,0.0140823,0.01373443,0.01373187,0.00826682,0.00805997,0.00806131,0.00479009,0.00472056,0.00472863,0.0025397,0.00252164,0.00252891,0.00261768,0.00248768,0.0024986,0.25596886,0.24642666,0.24630453
430.5125,2.88e-06,2e-08,2e-08,0.01286307,0.00863141,0.00865553,0.10393062,0.11022247,0.11008813,0.10058757,0.09154586,0.09143521,0.02657554,0.02588411,0.02588304,0.0178169,0.01732509,0.01733413,0.01051178,0.01021596,0.01022561,0.00611529,0.00601564,0.00603362,0.00325063,0.00322482,0.00323931,0.00336309,0.00319648,0.0032169,0.28501738,0.27626185,0.2761115
454.2875,2.8e-07,0.0,0.0,0.00772934,0.00368312,0.00370095,0.10177399,0.11147894,0.1113777,0.11665595,0.10720999,0.10708225,0.03216322,0.03123852,0.03123667,0.02176385,0.02109409,0.02110463,0.01291078,0.01250257,0.01251389,0.00754217,0.00740412,0.0074264,0.00401947,0.0039838,0.00400198,0.00417381,0.00396768,0.00399356,0.30873286,0.30256283,0.30243803
478.0625,2e-08,0.0,0.0,0.00431067,0.00130602,0.00131626,0.09562385,0.10766061,0.10764892,0.13189789,0.12270337,0.12257267,0.03816994,0.0369686,0.03695369,0.0260975,0.02520691,0.02520657,0.01557448,0.01502344,0.01502813,0.00913788,0.00895051,0.00896929,0.00488273,0.00483438,0.00485112,0.00508848,0.00483813,0.00486328,0.33078344,0.32749199,0.32740994
501.8375,0.0,0.0,0.0,0.00226548,0.00038392,0.000388,0.08724383,0.1000735,0.10017018,0.14686868,0.13867238,0.13855651,0.04489437,0.04336597,0.04332623,0.03105489,0.02988836,0.02986437,0.01865588,0.01792159,0.01791092,0.01099634,0.01074492,0.01075137,0.00589178,0.00582697,0.00583626,0.00616194,0.0058602,0.00587723,0.3540332,0.35273781,0.35268106
525.6125,0.0,0.0,0.0,0.00112816,9.168e-05,9.268e-05,0.07733724,0.08920392,0.08926077,0.1609715,0.1546994,0.15453525,0.05233833,0.05043812,0.05040291,0.03668469,0.03518106,0.03516817,0.02220112,0.02123584,0.02123425,0.01315083,0.01281758,0.01284113,0.00706629,0.00698036,0.00700338,0.00741664,0.00705553,0.00709184,0.37829479,0.3777035,0.37763037
549.3875,0.0,0.0,0.0,0.00053659,1.739e-05,1.763e-05,0.06661018,0.07590894,0.07597868,0.17349584,0.17020326,0.17001564,0.06045544,0.0581526,0.05811673,0.04301403,0.04110883,0.04110034,0.02624843,0.02499733,0.02500016,0.01563182,0.01519573,0.01523133,0.0084249,0.00831234,0.00834572,0.00887449,0.00844538,0.00849696,0.40329172,0.40234181,0.4023032
573.1625,0.0,0.0,0.0,0.00024574,2.56e-06,2.61e-06,0.05577864,0.06140512,0.06150836,0.18386351,0.18463605,0.18445598,0.06920955,0.06649508,0.06645433,0.05009119,0.04771859,0.04770746,0.03085524,0.0292558,0.02925786,0.01848353,0.01791984,0.01796062,0.00999438,0.00984862,0.00988741,0.01056653,0.01005987,0.01012044,0.42908831,0.42734153,0.42735506
596.9375,0.0,0.0,0.0,0.0001118,2.9e-07,2.9e-07,0.04723416,0.04875457,0.04889063,0.20015876,0.20638766,0.20624319,0.08221478,0.07897714,0.07892617,0.06070199,0.05766536,0.05764336,0.03780007,0.03568759,0.035683,0.02279356,0.02203947,0.02207825,0.01236935,0.01217379,0.01221299,0.01312774,0.01250476,0.01256825,0.47651223,0.47419063,0.47424614
620.7125,0.0,0.0,0.0,4.686e-05,2e-08,2e-08,0.03821225,0.03547782,0.03562278,0.21239261,0.22555927,0.22549126,0.09637672,0.09269697,0.09263348,0.07286619,0.06907359,0.06903195,0.04596278,0.04321989,0.04320138,0.02792664,0.02693262,0.02695663,0.01521685,0.01495802,0.01498771,0.01621603,0.01545647,0.01550952,0.52521694,0.52337467,0.52343474
