hPa,LBL_g1,PAR_g1,LBL_g2,PAR_g2,LBL_g3,PAR_g3,LBL_g4,PAR_g4,LBL_g5,PAR_g5,LBL_g6,PAR_g6,LBL_g7,PAR_g7,LBL_g8,PAR_g8,LBL_g9,PAR_g9,LBL_g10,PAR_g10,LBL_tot,PAR_tot,PAR - LBL
0.0131,0.0,0.0,1.3e-05,6e-08,0.00325,0.00188378,0.021579,0.02169568,0.062594,0.0626436,0.129164,0.12916291,0.335375,0.33538494,0.752361,0.75236216,0.758343,0.75834304,13.119028,13.119028,15.18171,15.180504,-0.001206
0.0184,0.0,0.0,4e-06,0.0,0.002551,0.00097311,0.020942,0.02104916,0.062432,0.06250161,0.129158,0.12915656,0.335349,0.33536235,0.752358,0.75235938,0.758343,0.7583427,13.119028,13.119028,15.18016,15.178773,-0.001387
0.0258,0.0,0.0,1e-06,0.0,0.001951,0.00038427,0.020113,0.02016388,0.062204,0.06229946,0.129148,0.12914683,0.335311,0.3353302,0.752353,0.75235539,0.758342,0.75834221,13.119028,13.119028,15.17845,15.17705,-0.0014
0.0362,0.0,0.0,0.0,0.0,0.001465,0.00010395,0.019058,0.0189683,0.061882,0.0620112,0.129133,0.12913168,0.335257,0.33528439,0.752347,0.75234968,0.758341,0.75834151,13.119028,13.119028,15.17651,15.175219,-0.001291
0.0508,0.0,0.0,0.0,0.0,0.001087,1.649e-05,0.017753,0.0173841,0.061427,0.06159879,0.129109,0.12910747,0.33518,0.33521889,0.752337,0.75234145,0.75834,0.75834049,13.119028,13.119028,15.17426,15.173035,-0.001225
0.0713,0.0,0.0,0.0,0.0,0.00079,1.22e-06,0.016157,0.01531586,0.060776,0.06099752,0.12907,0.12906731,0.335069,0.33512329,0.752323,0.75232926,0.758338,0.75833899,13.119028,13.119028,15.17155,15.170201,-0.001349
0.1,0.0,0.0,0.0,0.0,0.000538,3e-08,0.014178,0.01264387,0.059804,0.06008162,0.129,0.1289963,0.334898,0.33497659,0.752301,0.75231004,0.758336,0.75833662,13.119027,13.119027,15.16808,15.166372,-0.001708
0.1403,0.0,0.0,0.0,0.0,0.000317,0.0,0.011762,0.00938219,0.058318,0.05864912,0.128872,0.1288665,0.334628,0.33474297,0.752265,0.75227837,0.758331,0.75833269,13.119027,13.119027,15.16352,15.161279,-0.002241
0.1968,0.0,0.0,0.0,0.0,0.000143,0.0,0.009004,0.0058824,0.056068,0.0564146,0.128635,0.12862709,0.334192,0.33436703,0.752204,0.75222564,0.758324,0.75832608,13.119026,13.119026,15.1576,15.154869,-0.002731
0.276,0.0,0.0,0.0,0.0,3.9e-05,0.0,0.006149,0.00282557,0.052729,0.05297125,0.128194,0.12818376,0.333486,0.3337571,0.752101,0.75213722,0.758311,0.75831484,13.119024,13.119025,15.15003,15.147215,-0.002815
0.3871,0.0,0.0,0.0,0.0,4e-06,0.0,0.003575,0.00088968,0.047941,0.04779601,0.127371,0.12736056,0.332331,0.33276005,0.751925,0.75198781,0.758288,0.75829552,13.119022,13.119023,15.14046,15.138113,-0.002347
0.5431,0.0,0.0,0.0,0.0,0.0,0.0,0.001651,0.00014213,0.041421,0.04033281,0.125835,0.12582203,0.330436,0.33110716,0.751621,0.75173118,0.758248,0.75826165,13.119017,13.11902,15.12823,15.126417,-0.001813
