hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
561.275,0.0,0.0,0.0,0.011222,1e-06,6.9e-07,0.23886,0.009787,0.00986583,0.18609,0.108888,0.1089796,4.51444,4.599951,4.5979276,219.551435,219.612998,219.61076,224.50205,224.33162,224.32753,-0.17043,-0.17452
585.05,0.0,0.0,0.0,0.010817,1e-06,5.1e-07,0.235256,0.00817,0.00824058,0.169786,0.094127,0.09425114,4.437331,4.524257,4.5222129,219.518539,219.583999,219.5816,224.37173,224.21055,224.20631,-0.16118,-0.16542
608.825,0.0,0.0,0.0,0.010434,0.0,3.7e-07,0.231795,0.00684,0.00690197,0.15495,0.081241,0.08138212,4.3602,4.448039,4.4460051,219.484674,219.554065,219.55153,224.24205,224.09019,224.08582,-0.15186,-0.15623
632.6,0.0,0.0,0.0,0.010073,0.0,2.8e-07,0.228465,0.005742,0.00579601,0.141461,0.070022,0.070161,4.283185,4.371427,4.369444,219.449867,219.523211,219.52058,224.11305,223.9704,223.96598,-0.14265,-0.14707
656.375,0.0,0.0,0.0,0.009732,0.0,2.1e-07,0.22526,0.004834,0.00488069,0.129208,0.060277,0.06041577,4.206418,4.294545,4.292621,219.414147,219.491455,219.48872,223.98476,223.85111,223.84663,-0.13365,-0.13813
680.15,0.0,0.0,0.0,0.009409,0.0,1.6e-07,0.222173,0.004081,0.00412151,0.118087,0.051831,0.05197709,4.13003,4.217524,4.2156331,219.37755,219.458821,219.45594,223.85725,223.73226,223.72767,-0.12499,-0.12958
703.925,0.0,0.0,0.0,0.009104,0.0,1.2e-07,0.219196,0.003454,0.0034899,0.108,0.044525,0.04467751,4.054128,4.140469,4.1385975,219.340104,219.425324,219.42228,223.73053,223.61377,223.60904,-0.11676,-0.12149
727.7,0.0,0.0,0.0,0.008814,0.0,9e-08,0.216325,0.002931,0.00296284,0.098856,0.038216,0.03836973,3.978807,4.06348,4.061621,219.301838,219.390982,219.38777,223.60464,223.49561,223.49072,-0.10903,-0.11392
751.475,0.0,0.0,0.0,0.00854,0.0,7e-08,0.213553,0.002494,0.00252177,0.090571,0.032775,0.03292453,3.904155,3.986648,3.9848021,219.262778,219.355811,219.35243,223.4796,223.37773,223.37268,-0.10187,-0.10692
775.25,0.0,0.0,0.0,0.008281,0.0,6e-08,0.210876,0.002128,0.00215163,0.083066,0.02809,0.02822857,3.830251,3.910059,3.90823,219.222951,219.319825,219.3163,223.35542,223.2601,223.25491,-0.09532,-0.10051
799.025,0.0,0.0,0.0,0.008034,0.0,4e-08,0.208288,0.00182,0.00184018,0.076269,0.024061,0.0241827,3.757163,3.833792,3.8319872,219.182384,219.283038,219.2794,223.23214,223.14271,223.13741,-0.08943,-0.09473
822.8,0.0,0.0,0.0,0.007799,0.0,4e-08,0.205784,0.00156,0.00157759,0.070114,0.020599,0.02070831,3.684955,3.757919,3.7561341,219.141101,219.245467,219.2417,223.10975,223.02554,223.02012,-0.08421,-0.08963
846.575,0.0,0.0,0.0,0.007577,0.0,3e-08,0.203362,0.00134,0.00135568,0.064542,0.017628,0.01772886,3.613683,3.68251,3.6807362,219.099133,219.207128,219.2032,222.9883,222.90861,222.90302,-0.07969,-0.08528
870.35,0.0,0.0,0.0,0.007365,0.0,2e-08,0.201019,0.001154,0.00116766,0.059497,0.015079,0.01517427,3.543399,3.607629,3.605863,219.056515,219.168045,219.16393,222.86779,222.79191,222.78614,-0.07588,-0.08165
894.125,0.0,0.0,0.0,0.007163,0.0,2e-08,0.198754,0.000996,0.00100798,0.054929,0.012895,0.01298417,3.474152,3.533341,3.5315796,219.013298,219.128254,219.12395,222.7483,222.67549,222.66953,-0.07281,-0.07877
917.9,0.0,0.0,0.0,0.006972,0.0,1e-08,0.196566,0.000862,0.00087204,0.050794,0.011024,0.01110676,3.40599,3.459702,3.4579474,218.969536,219.087797,219.08331,222.62986,222.55938,222.55324,-0.07048,-0.07662
941.675,0.0,0.0,0.0,0.006791,0.0,1e-08,0.194455,0.000747,0.00075604,0.047049,0.009422,0.00949768,3.338949,3.386765,3.3850198,218.92528,219.046708,219.04206,222.51252,222.44364,222.43733,-0.06888,-0.07519
965.45,0.0,0.0,0.0,0.006618,0.0,1e-08,0.192418,0.000649,0.00065685,0.043658,0.008051,0.00811895,3.273059,3.314573,3.3128411,218.880567,219.005015,219.00022,222.39632,222.32829,222.32184,-0.06803,-0.07448
989.225,0.0,0.0,0.0,0.006455,0.0,1e-08,0.190451,0.000565,0.00057183,0.040585,0.006878,0.00693801,3.208341,3.243163,3.2414498,218.83542,218.962731,218.95783,222.28125,222.21334,222.20679,-0.06791,-0.07446
1013.0,0.0,0.0,0.0,0.006299,0.0,1e-08,0.188551,0.000493,0.00049881,0.037799,0.005876,0.00592701,3.144811,3.172566,3.1708784,218.789862,218.919868,218.9149,222.16732,222.0988,222.09221,-0.06852,-0.07511
