,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
62,715.8125,0.0,0.0,0.0,1.715e-05,0.0,0.0,0.00045475,8.7e-07,8.8e-07,0.00051649,8.972e-05,9.001e-05,0.0170127,0.01933806,0.01932374,0.01285516,0.01216074,0.01221936,0.03085626,0.03158938,0.031634,0.00073312,0.00077774
63,739.5875,0.0,0.0,0.0,1.59e-05,0.0,0.0,0.00043561,6.2e-07,6.3e-07,0.00043903,6.638e-05,6.671e-05,0.01654638,0.01893664,0.01892256,0.01307841,0.01245252,0.01250859,0.03051533,0.03145615,0.03149849,0.00094082,0.00098316
64,763.3625,0.0,0.0,0.0,1.475e-05,0.0,0.0,0.00041756,4.4e-07,4.5e-07,0.00037354,4.901e-05,4.935e-05,0.01607633,0.01851706,0.01850214,0.01329013,0.01273886,0.0127881,0.0301723,0.03130536,0.03134003,0.00113306,0.00116773
65,787.1375,0.0,0.0,0.0,1.371e-05,0.0,0.0,0.00040053,3.2e-07,3.2e-07,0.00031824,3.611e-05,3.644e-05,0.01560499,0.01808239,0.01806591,0.01349059,0.01301994,0.01305844,0.02982806,0.03113876,0.03116111,0.0013107,0.00133305
66,810.9125,0.0,0.0,0.0,1.275e-05,0.0,0.0,0.00038445,2.3e-07,2.3e-07,0.00027158,2.657e-05,2.68e-05,0.01513435,0.01763537,0.01762042,0.01367974,0.01329564,0.01334035,0.02948286,0.03095781,0.03098781,0.00147495,0.00150495
67,834.6875,0.0,0.0,0.0,1.186e-05,0.0,0.0,0.00036916,1.7e-07,1.7e-07,0.00023221,1.952e-05,1.968e-05,0.01466579,0.01717839,0.01716552,0.01385661,0.01356498,0.01362054,0.02913562,0.03076306,0.03080591,0.00162744,0.00167029
68,858.4625,0.0,0.0,0.0,1.104e-05,0.0,0.0,0.00035442,1.2e-07,1.2e-07,0.00019896,1.432e-05,1.444e-05,0.01419986,0.01671337,0.01670169,0.01401863,0.01382551,0.01388767,0.02878292,0.03055333,0.03060393,0.00177041,0.00182101
69,882.2375,0.0,0.0,0.0,1.028e-05,0.0,0.0,0.00033998,9e-08,9e-08,0.00017082,1.05e-05,1.06e-05,0.01373658,0.01624202,0.01623086,0.01416194,0.01407353,0.01413817,0.0284196,0.03032614,0.03037972,0.00190654,0.00196013
70,906.0125,0.0,0.0,0.0,9.55e-06,0.0,0.0,0.00032571,6e-08,7e-08,0.00014698,7.69e-06,7.77e-06,0.01327648,0.01576632,0.01575518,0.01428434,0.0143068,0.01436983,0.02804305,0.03008087,0.03013284,0.00203782,0.00208979
71,929.7875,0.0,0.0,0.0,8.88e-06,0.0,0.0,0.00031174,5e-08,5e-08,0.00012678,5.63e-06,5.7e-06,0.01282145,0.01528877,0.01527726,0.014388,0.01452703,0.01458445,0.02765685,0.02982147,0.02986746,0.00216462,0.00221061
72,953.5625,0.0,0.0,0.0,8.25e-06,0.0,0.0,0.00029836,4e-08,4e-08,0.00010969,4.12e-06,4.17e-06,0.01237392,0.01481187,0.01479969,0.01447763,0.01473831,0.0147864,0.02726784,0.02955433,0.0295903,0.00228649,0.00232246
73,977.3375,0.0,0.0,0.0,7.68e-06,0.0,0.0,0.0002857,3e-08,3e-08,9.524e-05,3.01e-06,3.06e-06,0.01193573,0.01433759,0.0143245,0.01455704,0.014944,0.01497934,0.02688139,0.02928463,0.02930693,0.00240324,0.00242554
74,1001.1125,0.0,0.0,0.0,7.16e-06,0.0,0.0,0.00027383,2e-08,2e-08,8.301e-05,2.2e-06,2.23e-06,0.01150789,0.01386735,0.01385328,0.01462833,0.01514591,0.01516664,0.02650022,0.02901548,0.02902218,0.00251526,0.00252196
