,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
43,264.0875,0.0,0.0,0.0,0.00010334,1e-08,1e-08,0.00158841,0.00145108,0.00145096,0.00894434,0.01022664,0.0102046,0.01920174,0.01836762,0.01840055,0.00688985,0.00598717,0.00602309,0.03672768,0.03603253,0.03607921,-0.00069515,-0.00064847
44,287.8625,0.0,0.0,0.0,8.933e-05,0.0,0.0,0.00142457,0.00096038,0.00096034,0.0079266,0.00873721,0.00871662,0.01984304,0.01913646,0.01917778,0.00734654,0.00639931,0.00644432,0.03663008,0.03523336,0.03529906,-0.00139672,-0.00133102
45,311.6375,0.0,0.0,0.0,7.778e-05,0.0,0.0,0.0012941,0.0006337,0.00063593,0.00698858,0.0073462,0.0073261,0.02035535,0.01979743,0.01980476,0.00779639,0.00680918,0.00684186,0.03651219,0.03458652,0.03460866,-0.00192567,-0.00190353
46,335.4125,0.0,0.0,0.0,6.812e-05,0.0,0.0,0.00118645,0.00041773,0.00041868,0.00613365,0.00608933,0.0060686,0.02074724,0.02035553,0.02037635,0.00823892,0.00721662,0.00725882,0.03637437,0.03407921,0.03412245,-0.00229516,-0.00225192
47,359.1875,0.0,0.0,0.0,5.996e-05,0.0,0.0,0.00109527,0.00027553,0.00027627,0.0053611,0.00498364,0.0049655,0.02102744,0.02081578,0.02083683,0.00867365,0.00762146,0.00766757,0.03621743,0.0336964,0.03374617,-0.00252103,-0.00247126
48,382.9625,0.0,0.0,0.0,5.3e-05,0.0,0.0,0.00101652,0.00018206,0.00018306,0.00466794,0.00403239,0.00401903,0.02120481,0.02118325,0.02118099,0.00910007,0.00802345,0.00806016,0.03604234,0.03342115,0.03344325,-0.00262119,-0.00259909
49,406.7375,0.0,0.0,0.0,4.701e-05,0.0,0.0,0.00094713,0.0001206,0.00012151,0.00404841,0.00322829,0.00321861,0.02128002,0.0214553,0.02144536,0.00951385,0.00841901,0.00845328,0.03583642,0.0332232,0.03323876,-0.00261322,-0.00259766
50,430.5125,0.0,0.0,0.0,4.184e-05,0.0,0.0,0.00088553,8.017e-05,8.073e-05,0.00349937,0.00256087,0.00255214,0.02126917,0.02164391,0.02165211,0.00991717,0.00881021,0.00885867,0.03561308,0.03309516,0.03314364,-0.00251792,-0.00246944
51,454.2875,0.0,0.0,0.0,3.735e-05,0.0,0.0,0.00083038,5.352e-05,5.396e-05,0.00301551,0.00201479,0.00200887,0.02118229,0.02175577,0.02176632,0.01030998,0.00919717,0.00924955,0.0353755,0.03302125,0.03307871,-0.00235425,-0.00229679
52,478.0625,0.0,0.0,0.0,3.343e-05,0.0,0.0,0.00078063,3.59e-05,3.628e-05,0.00259109,0.00157341,0.00157054,0.0210277,0.02179627,0.0217981,0.01069179,0.00957963,0.00962674,0.03512464,0.03298521,0.03303165,-0.00213943,-0.00209299
